posteam,yardline_100,game_date,game_seconds_remaining,down,ydstogo,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt
CAR,81.0,2011-01-02,3220.0,4.0,6.0,-7.0,0.0,0.0,0.0,1.0
CAR,94.0,2011-01-02,2980.0,4.0,7.0,-7.0,0.0,0.0,0.0,1.0
CAR,88.0,2011-01-02,2843.0,4.0,11.0,-13.0,0.0,0.0,0.0,1.0
ATL,4.0,2011-01-02,2655.0,4.0,3.0,13.0,0.0,1.0,0.0,0.0
ATL,26.0,2011-01-02,2301.0,4.0,1.0,13.0,0.0,1.0,0.0,0.0
CAR,51.0,2011-01-02,2176.0,4.0,6.0,-13.0,0.0,0.0,0.0,1.0
ATL,85.0,2011-01-02,2085.0,4.0,4.0,13.0,0.0,0.0,0.0,1.0
CAR,45.0,2011-01-02,1910.0,4.0,2.0,-13.0,0.0,1.0,0.0,0.0
CAR,5.0,2011-01-02,1654.0,4.0,2.0,-20.0,0.0,0.0,1.0,0.0
ATL,29.0,2011-01-02,1490.0,4.0,9.0,17.0,0.0,0.0,1.0,0.0
CAR,60.0,2011-01-02,900.0,4.0,2.0,-27.0,0.0,0.0,0.0,1.0
ATL,56.0,2011-01-02,686.0,4.0,1.0,27.0,0.0,0.0,0.0,1.0
CAR,90.0,2011-01-02,658.0,4.0,20.0,-27.0,0.0,0.0,0.0,1.0
ATL,37.0,2011-01-02,505.0,4.0,4.0,27.0,0.0,0.0,0.0,1.0
CAR,82.0,2011-01-02,408.0,4.0,3.0,-27.0,0.0,0.0,0.0,1.0
ATL,61.0,2011-01-02,211.0,4.0,13.0,27.0,0.0,0.0,0.0,1.0
CLE,63.0,2011-01-02,3405.0,4.0,13.0,-7.0,0.0,0.0,0.0,1.0
CLE,2.0,2011-01-02,2685.0,4.0,2.0,-14.0,0.0,0.0,1.0,0.0
PIT,23.0,2011-01-02,1894.0,4.0,2.0,25.0,0.0,0.0,1.0,0.0
CLE,54.0,2011-01-02,1833.0,4.0,1.0,-28.0,1.0,0.0,0.0,0.0
PIT,17.0,2011-01-02,1484.0,4.0,1.0,28.0,1.0,0.0,0.0,0.0
CLE,82.0,2011-01-02,1245.0,4.0,10.0,-35.0,0.0,0.0,0.0,1.0
PIT,65.0,2011-01-02,1147.0,4.0,9.0,35.0,0.0,0.0,0.0,1.0
CLE,86.0,2011-01-02,1060.0,4.0,19.0,-35.0,0.0,0.0,0.0,1.0
PIT,6.0,2011-01-02,755.0,4.0,5.0,35.0,0.0,0.0,1.0,0.0
CLE,13.0,2011-01-02,555.0,4.0,1.0,-38.0,1.0,0.0,0.0,0.0
PIT,59.0,2011-01-02,118.0,4.0,1.0,32.0,0.0,0.0,0.0,1.0
CLE,57.0,2011-01-02,41.0,4.0,5.0,-32.0,1.0,0.0,0.0,0.0
MIN,64.0,2011-01-02,3352.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0
MIN,33.0,2011-01-02,2748.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0
DET,83.0,2011-01-02,2691.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
DET,37.0,2011-01-02,2209.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0
MIN,47.0,2011-01-02,2114.0,4.0,6.0,-3.0,0.0,0.0,0.0,1.0
DET,18.0,2011-01-02,1503.0,4.0,7.0,10.0,0.0,0.0,1.0,0.0
MIN,80.0,2011-01-02,1319.0,4.0,20.0,-13.0,0.0,0.0,0.0,1.0
DET,77.0,2011-01-02,1174.0,4.0,8.0,7.0,0.0,0.0,0.0,1.0
MIN,9.0,2011-01-02,729.0,4.0,7.0,-7.0,0.0,0.0,1.0,0.0
MIN,70.0,2011-01-02,512.0,4.0,5.0,-11.0,0.0,0.0,0.0,1.0
DET,55.0,2011-01-02,345.0,4.0,2.0,11.0,0.0,0.0,0.0,1.0
MIN,30.0,2011-01-02,120.0,4.0,5.0,-11.0,0.0,0.0,1.0,0.0
DET,32.0,2011-01-02,16.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0
DET,37.0,2011-01-02,12.0,4.0,8.0,8.0,0.0,0.0,0.0,1.0
BAL,7.0,2011-01-02,3313.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0
CIN,66.0,2011-01-02,3207.0,4.0,1.0,-3.0,0.0,0.0,0.0,1.0
BAL,63.0,2011-01-02,3050.0,4.0,7.0,3.0,0.0,0.0,0.0,1.0
CIN,11.0,2011-01-02,2567.0,4.0,7.0,-3.0,0.0,0.0,1.0,0.0
BAL,80.0,2011-01-02,2487.0,4.0,20.0,3.0,0.0,0.0,0.0,1.0
CIN,55.0,2011-01-02,2303.0,4.0,1.0,-3.0,0.0,0.0,0.0,1.0
BAL,29.0,2011-01-02,2086.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0
CIN,48.0,2011-01-02,1953.0,4.0,2.0,-6.0,0.0,0.0,0.0,1.0
BAL,66.0,2011-01-02,1680.0,4.0,16.0,6.0,0.0,0.0,0.0,1.0
CIN,82.0,2011-01-02,1582.0,4.0,4.0,-6.0,0.0,0.0,0.0,1.0
BAL,56.0,2011-01-02,1421.0,4.0,14.0,6.0,0.0,0.0,0.0,1.0
CIN,40.0,2011-01-02,1006.0,4.0,1.0,-13.0,0.0,0.0,0.0,0.0
BAL,63.0,2011-01-02,650.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0
CIN,26.0,2011-01-02,341.0,4.0,1.0,-6.0,0.0,1.0,0.0,0.0
BAL,75.0,2011-01-02,237.0,4.0,11.0,6.0,0.0,0.0,0.0,1.0
BAL,62.0,2011-01-02,55.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0
BAL,67.0,2011-01-02,55.0,4.0,6.0,6.0,0.0,0.0,0.0,1.0
CIN,2.0,2011-01-02,16.0,4.0,1.0,-6.0,0.0,1.0,0.0,0.0
MIA,81.0,2011-01-02,3248.0,4.0,12.0,-7.0,0.0,0.0,0.0,1.0
MIA,22.0,2011-01-02,3068.0,4.0,11.0,-7.0,0.0,0.0,1.0,0.0
MIA,44.0,2011-01-02,2667.0,4.0,14.0,-14.0,0.0,0.0,0.0,1.0
NE,80.0,2011-01-02,2576.0,4.0,2.0,14.0,0.0,0.0,0.0,1.0
MIA,55.0,2011-01-02,2483.0,4.0,8.0,-14.0,0.0,0.0,0.0,1.0
NE,62.0,2011-01-02,2294.0,4.0,10.0,14.0,0.0,0.0,0.0,1.0
NE,10.0,2011-01-02,1905.0,4.0,6.0,14.0,0.0,0.0,1.0,0.0
MIA,67.0,2011-01-02,1840.0,4.0,2.0,-17.0,0.0,0.0,0.0,1.0
MIA,59.0,2011-01-02,1527.0,4.0,17.0,-30.0,0.0,0.0,0.0,1.0
NE,47.0,2011-01-02,1318.0,4.0,1.0,30.0,0.0,0.0,0.0,0.0
MIA,47.0,2011-01-02,1199.0,4.0,3.0,-37.0,0.0,1.0,0.0,0.0
NE,19.0,2011-01-02,873.0,4.0,16.0,37.0,0.0,1.0,0.0,0.0
MIA,54.0,2011-01-02,754.0,4.0,18.0,-37.0,0.0,0.0,0.0,1.0
NE,19.0,2011-01-02,173.0,4.0,9.0,37.0,0.0,1.0,0.0,0.0
NYJ,10.0,2011-01-02,3003.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0
BUF,54.0,2011-01-02,2798.0,4.0,1.0,-3.0,0.0,0.0,0.0,1.0
NYJ,51.0,2011-01-02,2564.0,4.0,6.0,3.0,0.0,0.0,0.0,1.0
BUF,82.0,2011-01-02,2261.0,4.0,11.0,-9.0,0.0,0.0,0.0,1.0
NYJ,57.0,2011-01-02,2184.0,4.0,5.0,9.0,0.0,0.0,0.0,1.0
BUF,87.0,2011-01-02,2160.0,4.0,10.0,-9.0,0.0,0.0,0.0,1.0
NYJ,45.0,2011-01-02,2063.0,4.0,3.0,9.0,0.0,0.0,0.0,1.0
BUF,80.0,2011-01-02,1935.0,4.0,1.0,-9.0,0.0,0.0,0.0,1.0
NYJ,39.0,2011-01-02,1452.0,4.0,3.0,10.0,0.0,0.0,0.0,1.0
BUF,93.0,2011-01-02,1359.0,4.0,6.0,-10.0,0.0,0.0,0.0,1.0
BUF,71.0,2011-01-02,1189.0,4.0,10.0,-17.0,0.0,0.0,0.0,1.0
NYJ,55.0,2011-01-02,1062.0,4.0,5.0,17.0,0.0,0.0,0.0,1.0
