posteam,yardline_100,game_date,game_seconds_remaining,down,ydstogo,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt
BUF,70.0,2010-01-03,3486.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
BUF,58.0,2010-01-03,2856.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0
IND,62.0,2010-01-03,2664.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0
BUF,45.0,2010-01-03,2362.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
IND,90.0,2010-01-03,2278.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
BUF,14.0,2010-01-03,1818.0,4.0,9.0,14.0,0.0,0.0,1.0,0.0
IND,42.0,2010-01-03,1631.0,4.0,3.0,-17.0,0.0,1.0,0.0,0.0
BUF,14.0,2010-01-03,1356.0,4.0,5.0,17.0,0.0,0.0,1.0,0.0
IND,58.0,2010-01-03,1245.0,4.0,12.0,-20.0,0.0,0.0,0.0,1.0
BUF,18.0,2010-01-03,918.0,4.0,11.0,20.0,0.0,0.0,1.0,0.0
IND,46.0,2010-01-03,777.0,4.0,3.0,-23.0,0.0,0.0,0.0,1.0
BUF,77.0,2010-01-03,681.0,4.0,7.0,23.0,0.0,0.0,0.0,1.0
IND,47.0,2010-01-03,589.0,4.0,13.0,-23.0,0.0,0.0,0.0,1.0
BUF,46.0,2010-01-03,274.0,4.0,1.0,23.0,0.0,0.0,0.0,1.0
IND,73.0,2010-01-03,228.0,4.0,3.0,-23.0,0.0,0.0,0.0,1.0
NO,60.0,2010-01-03,3458.0,4.0,6.0,-7.0,0.0,0.0,0.0,1.0
CAR,63.0,2010-01-03,3253.0,4.0,7.0,7.0,0.0,0.0,0.0,1.0
NO,50.0,2010-01-03,2984.0,4.0,11.0,-7.0,0.0,0.0,0.0,1.0
CAR,97.0,2010-01-03,2884.0,4.0,16.0,7.0,0.0,0.0,0.0,1.0
NO,51.0,2010-01-03,2816.0,4.0,7.0,-7.0,0.0,0.0,0.0,1.0
CAR,84.0,2010-01-03,2729.0,4.0,6.0,7.0,0.0,0.0,0.0,1.0
NO,17.0,2010-01-03,2479.0,4.0,2.0,-7.0,0.0,0.0,1.0,0.0
CAR,33.0,2010-01-03,2223.0,4.0,10.0,4.0,0.0,1.0,0.0,0.0
NO,57.0,2010-01-03,2110.0,4.0,7.0,-4.0,0.0,0.0,0.0,1.0
CAR,82.0,2010-01-03,1962.0,4.0,7.0,4.0,0.0,0.0,0.0,1.0
NO,51.0,2010-01-03,1912.0,4.0,3.0,-4.0,0.0,0.0,0.0,1.0
CAR,35.0,2010-01-03,1828.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0
NO,56.0,2010-01-03,1750.0,4.0,5.0,-14.0,0.0,0.0,0.0,1.0
,,2010-01-03,1591.0,4.0,3.0,,,,,
CAR,35.0,2010-01-03,1578.0,4.0,3.0,14.0,0.0,0.0,0.0,1.0
NO,99.0,2010-01-03,1531.0,4.0,13.0,-14.0,0.0,0.0,0.0,1.0
CAR,21.0,2010-01-03,1391.0,4.0,6.0,14.0,0.0,0.0,1.0,0.0
CAR,19.0,2010-01-03,1212.0,4.0,2.0,17.0,0.0,0.0,1.0,0.0
NO,39.0,2010-01-03,1066.0,4.0,1.0,-20.0,1.0,0.0,0.0,0.0
CAR,71.0,2010-01-03,855.0,4.0,1.0,13.0,0.0,0.0,0.0,1.0
NO,64.0,2010-01-03,758.0,4.0,2.0,-13.0,0.0,0.0,0.0,1.0
CAR,79.0,2010-01-03,632.0,4.0,3.0,13.0,0.0,0.0,0.0,1.0
NO,58.0,2010-01-03,460.0,4.0,8.0,-13.0,0.0,0.0,0.0,1.0
CAR,85.0,2010-01-03,323.0,4.0,6.0,13.0,0.0,0.0,0.0,1.0
TB,30.0,2010-01-03,3512.0,4.0,12.0,0.0,0.0,0.0,1.0,0.0
ATL,70.0,2010-01-03,3385.0,4.0,2.0,-3.0,0.0,0.0,0.0,1.0
TB,45.0,2010-01-03,3215.0,4.0,7.0,3.0,0.0,0.0,0.0,1.0
ATL,66.0,2010-01-03,3080.0,4.0,7.0,-3.0,0.0,0.0,0.0,1.0
TB,53.0,2010-01-03,2876.0,4.0,9.0,3.0,0.0,0.0,0.0,1.0
ATL,76.0,2010-01-03,2786.0,4.0,6.0,-3.0,0.0,0.0,0.0,1.0
TB,47.0,2010-01-03,2647.0,4.0,7.0,3.0,0.0,0.0,0.0,1.0
ATL,35.0,2010-01-03,2303.0,4.0,15.0,-3.0,0.0,1.0,0.0,0.0
TB,63.0,2010-01-03,2249.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0
ATL,18.0,2010-01-03,2054.0,4.0,2.0,-3.0,0.0,0.0,1.0,0.0
TB,87.0,2010-01-03,1995.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0
TB,73.0,2010-01-03,1750.0,4.0,10.0,-7.0,0.0,0.0,0.0,1.0
TB,47.0,2010-01-03,1502.0,4.0,4.0,-7.0,0.0,0.0,0.0,1.0
ATL,22.0,2010-01-03,1053.0,4.0,13.0,7.0,0.0,0.0,1.0,0.0
ATL,18.0,2010-01-03,65.0,4.0,7.0,7.0,0.0,0.0,1.0,0.0
STL,58.0,2010-01-03,3465.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
STL,56.0,2010-01-03,3404.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
SF,41.0,2010-01-03,3098.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
STL,93.0,2010-01-03,2978.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
SF,68.0,2010-01-03,2849.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0
STL,70.0,2010-01-03,2758.0,4.0,12.0,0.0,0.0,0.0,0.0,1.0
SF,90.0,2010-01-03,2696.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
STL,52.0,2010-01-03,2609.0,4.0,14.0,0.0,0.0,0.0,0.0,1.0
SF,71.0,2010-01-03,2424.0,4.0,13.0,0.0,0.0,0.0,0.0,1.0
,,2010-01-03,2300.0,4.0,8.0,,,,,
STL,80.0,2010-01-03,2284.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0
STL,90.0,2010-01-03,2279.0,4.0,18.0,0.0,0.0,0.0,0.0,1.0
SF,35.0,2010-01-03,2178.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0
STL,36.0,2010-01-03,2045.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0
SF,83.0,2010-01-03,1949.0,4.0,9.0,-3.0,0.0,0.0,0.0,1.0
STL,27.0,2010-01-03,1802.0,4.0,9.0,3.0,0.0,0.0,1.0,0.0
SF,72.0,2010-01-03,1712.0,4.0,4.0,-3.0,0.0,0.0,0.0,1.0
STL,66.0,2010-01-03,1634.0,4.0,13.0,3.0,0.0,0.0,0.0,1.0
STL,77.0,2010-01-03,1321.0,4.0,9.0,-4.0,0.0,0.0,0.0,1.0
SF,86.0,2010-01-03,1229.0,4.0,10.0,4.0,0.0,0.0,0.0,1.0
STL,67.0,2010-01-03,1107.0,4.0,3.0,-4.0,0.0,0.0,0.0,1.0
