posteam,yardline_100,game_date,game_seconds_remaining,down,ydstogo,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt
ATL,1.0,2018-09-06,3355.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0
PHI,92.0,2018-09-06,3260.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
ATL,3.0,2018-09-06,3003.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0
PHI,65.0,2018-09-06,2733.0,4.0,18.0,-3.0,0.0,0.0,0.0,1.0
ATL,89.0,2018-09-06,2658.0,4.0,19.0,3.0,0.0,0.0,0.0,1.0
PHI,8.0,2018-09-06,2172.0,4.0,8.0,-3.0,0.0,0.0,1.0,0.0
ATL,34.0,2018-09-06,1933.0,4.0,17.0,0.0,0.0,0.0,1.0,0.0
PHI,64.0,2018-09-06,1890.0,4.0,3.0,-3.0,0.0,0.0,0.0,0.0
PHI,69.0,2018-09-06,1890.0,4.0,8.0,-3.0,0.0,0.0,0.0,1.0
ATL,69.0,2018-09-06,1844.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0
ATL,74.0,2018-09-06,1844.0,4.0,8.0,3.0,0.0,0.0,0.0,1.0
PHI,78.0,2018-09-06,1811.0,4.0,1.0,-3.0,0.0,0.0,0.0,0.0
PHI,58.0,2018-09-06,1653.0,4.0,9.0,-3.0,0.0,0.0,0.0,1.0
ATL,74.0,2018-09-06,1522.0,4.0,16.0,3.0,0.0,0.0,0.0,1.0
ATL,60.0,2018-09-06,1064.0,4.0,10.0,-4.0,0.0,0.0,0.0,1.0
PHI,80.0,2018-09-06,995.0,4.0,6.0,4.0,0.0,0.0,0.0,1.0
ATL,70.0,2018-09-06,934.0,4.0,6.0,-4.0,0.0,0.0,0.0,1.0
,,2018-09-06,474.0,4.0,14.0,,,,,
PHI,79.0,2018-09-06,462.0,4.0,14.0,-2.0,0.0,0.0,0.0,1.0
ATL,71.0,2018-09-06,304.0,4.0,14.0,2.0,0.0,0.0,0.0,1.0
ATL,10.0,2018-09-06,6.0,4.0,10.0,-6.0,0.0,0.0,0.0,0.0
BUF,72.0,2018-09-09,3145.0,4.0,14.0,-7.0,0.0,0.0,0.0,1.0
BAL,74.0,2018-09-09,3097.0,4.0,9.0,7.0,0.0,0.0,0.0,1.0
BUF,82.0,2018-09-09,3043.0,4.0,7.0,-7.0,0.0,0.0,0.0,1.0
BUF,78.0,2018-09-09,2661.0,4.0,13.0,-14.0,0.0,0.0,0.0,1.0
BAL,23.0,2018-09-09,2598.0,4.0,13.0,14.0,0.0,0.0,1.0,0.0
BUF,79.0,2018-09-09,2529.0,4.0,14.0,-17.0,0.0,0.0,0.0,1.0
BAL,65.0,2018-09-09,2423.0,4.0,5.0,17.0,0.0,0.0,0.0,0.0
BUF,34.0,2018-09-09,2328.0,4.0,9.0,-17.0,0.0,0.0,1.0,0.0
BAL,60.0,2018-09-09,2225.0,4.0,12.0,17.0,0.0,0.0,0.0,1.0
BAL,21.0,2018-09-09,2060.0,4.0,2.0,17.0,0.0,0.0,1.0,0.0
BUF,73.0,2018-09-09,1981.0,4.0,8.0,-20.0,0.0,0.0,0.0,1.0
BUF,61.0,2018-09-09,1737.0,4.0,8.0,-26.0,0.0,1.0,0.0,0.0
BUF,76.0,2018-09-09,1510.0,4.0,11.0,-40.0,0.0,0.0,0.0,1.0
BAL,77.0,2018-09-09,1402.0,4.0,17.0,40.0,0.0,0.0,0.0,1.0
BUF,17.0,2018-09-09,1062.0,4.0,17.0,-40.0,0.0,0.0,1.0,0.0
BAL,59.0,2018-09-09,887.0,4.0,5.0,37.0,0.0,0.0,0.0,1.0
BUF,65.0,2018-09-09,725.0,4.0,8.0,-37.0,0.0,0.0,0.0,1.0
BUF,53.0,2018-09-09,182.0,4.0,12.0,-44.0,0.0,0.0,0.0,1.0
BAL,83.0,2018-09-09,96.0,4.0,3.0,44.0,0.0,0.0,0.0,1.0
JAX,21.0,2018-09-09,3317.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0
NYG,83.0,2018-09-09,3138.0,4.0,7.0,-3.0,0.0,0.0,0.0,1.0
NYG,9.0,2018-09-09,2726.0,4.0,9.0,-3.0,0.0,0.0,1.0,0.0
JAX,21.0,2018-09-09,2242.0,4.0,20.0,0.0,0.0,0.0,1.0,0.0
NYG,74.0,2018-09-09,2127.0,4.0,9.0,-3.0,0.0,0.0,0.0,1.0
NYG,26.0,2018-09-09,1463.0,4.0,3.0,-7.0,0.0,0.0,1.0,0.0
JAX,84.0,2018-09-09,1370.0,4.0,19.0,4.0,0.0,0.0,0.0,1.0
NYG,38.0,2018-09-09,1288.0,4.0,2.0,-4.0,0.0,1.0,0.0,0.0
JAX,48.0,2018-09-09,1207.0,4.0,8.0,4.0,0.0,0.0,0.0,1.0
NYG,75.0,2018-09-09,1119.0,4.0,10.0,-4.0,0.0,0.0,0.0,1.0
JAX,44.0,2018-09-09,984.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0
NYG,59.0,2018-09-09,835.0,4.0,7.0,-4.0,0.0,0.0,0.0,1.0
JAX,63.0,2018-09-09,740.0,4.0,7.0,4.0,0.0,0.0,0.0,1.0
JAX,71.0,2018-09-09,558.0,4.0,6.0,4.0,0.0,0.0,0.0,1.0
NYG,65.0,2018-09-09,486.0,4.0,1.0,-4.0,0.0,0.0,0.0,0.0
NYG,69.0,2018-09-09,424.0,4.0,5.0,-4.0,0.0,0.0,0.0,1.0
JAX,61.0,2018-09-09,260.0,4.0,7.0,4.0,0.0,0.0,0.0,1.0
NYG,36.0,2018-09-09,115.0,4.0,6.0,-4.0,0.0,1.0,0.0,0.0
JAX,60.0,2018-09-09,54.0,4.0,6.0,4.0,0.0,0.0,0.0,1.0
NO,17.0,2018-09-09,2970.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0
TB,15.0,2018-09-09,2477.0,4.0,7.0,-3.0,0.0,0.0,1.0,0.0
NO,76.0,2018-09-09,2391.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0
TB,18.0,2018-09-09,1589.0,4.0,18.0,6.0,0.0,0.0,1.0,0.0
NO,66.0,2018-09-09,1461.0,4.0,1.0,-9.0,0.0,0.0,0.0,1.0
TB,66.0,2018-09-09,1362.0,4.0,1.0,9.0,0.0,0.0,0.0,1.0
NO,68.0,2018-09-09,1218.0,4.0,3.0,-9.0,0.0,0.0,0.0,1.0
NO,13.0,2018-09-09,598.0,4.0,4.0,-23.0,1.0,0.0,0.0,0.0
TB,26.0,2018-09-09,297.0,4.0,3.0,15.0,0.0,0.0,1.0,0.0
NE,67.0,2018-09-09,3493.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
HOU,69.0,2018-09-09,3328.0,4.0,6.0,-7.0,0.0,0.0,0.0,1.0
NE,49.0,2018-09-09,3178.0,4.0,3.0,7.0,0.0,0.0,0.0,1.0
HOU,43.0,2018-09-09,3045.0,4.0,6.0,-7.0,0.0,0.0,0.0,1.0
HOU,24.0,2018-09-09,2857.0,4.0,17.0,-7.0,0.0,0.0,1.0,0.0
NE,25.0,2018-09-09,2677.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0
