posteam,yardline_100,game_date,game_seconds_remaining,down,ydstogo,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt
GB,61.0,2014-09-04,3417.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
SEA,44.0,2014-09-04,3224.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
SEA,17.0,2014-09-04,3067.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0
GB,74.0,2014-09-04,2984.0,4.0,15.0,-3.0,0.0,0.0,0.0,1.0
GB,5.0,2014-09-04,2215.0,4.0,5.0,-3.0,0.0,0.0,1.0,0.0
GB,45.0,2014-09-04,1881.0,4.0,4.0,-7.0,0.0,0.0,0.0,1.0
SEA,53.0,2014-09-04,1633.0,4.0,4.0,7.0,0.0,0.0,0.0,1.0
SEA,2.0,2014-09-04,1532.0,4.0,2.0,7.0,0.0,0.0,1.0,0.0
GB,41.0,2014-09-04,1326.0,4.0,5.0,-10.0,0.0,1.0,0.0,0.0
SEA,37.0,2014-09-04,1202.0,4.0,8.0,10.0,0.0,0.0,0.0,1.0
SEA,15.0,2014-09-04,157.0,4.0,1.0,13.0,1.0,0.0,0.0,0.0
GB,79.0,2014-09-04,101.0,4.0,13.0,-20.0,0.0,0.0,0.0,1.0
NO,13.0,2014-09-07,3338.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0
ATL,81.0,2014-09-07,3227.0,4.0,11.0,-3.0,0.0,0.0,0.0,1.0
NO,33.0,2014-09-07,2984.0,4.0,10.0,3.0,0.0,0.0,1.0,0.0
NO,57.0,2014-09-07,1339.0,4.0,8.0,3.0,0.0,0.0,0.0,1.0
ATL,66.0,2014-09-07,1247.0,4.0,1.0,-3.0,0.0,0.0,0.0,1.0
ATL,75.0,2014-09-07,432.0,4.0,5.0,-3.0,0.0,0.0,0.0,1.0
NO,70.0,2014-09-07,391.0,4.0,6.0,3.0,0.0,0.0,0.0,1.0
ATL,33.0,2014-09-07,4.0,4.0,9.0,-3.0,0.0,0.0,1.0,0.0
ATL,34.0,2014-09-07,802.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0
MIN,34.0,2014-09-07,3280.0,4.0,19.0,0.0,0.0,0.0,1.0,0.0
