posteam,yardline_100,game_date,game_seconds_remaining,down,ydstogo,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt
PIT,56.0,2009-09-10,3507.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0
TEN,96.0,2009-09-10,3394.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0
PIT,41.0,2009-09-10,3205.0,4.0,21.0,0.0,0.0,0.0,0.0,1.0
TEN,19.0,2009-09-10,3108.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0
PIT,79.0,2009-09-10,3002.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0
TEN,44.0,2009-09-10,2593.0,4.0,22.0,0.0,0.0,0.0,0.0,1.0
PIT,62.0,2009-09-10,2245.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
TEN,13.0,2009-09-10,1942.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0
PIT,45.0,2009-09-10,1512.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
TEN,96.0,2009-09-10,1389.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0
PIT,43.0,2009-09-10,1218.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
TEN,71.0,2009-09-10,1016.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0
PIT,77.0,2009-09-10,900.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
TEN,27.0,2009-09-10,668.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0
PIT,9.0,2009-09-10,182.0,4.0,1.0,-3.0,0.0,0.0,0.0,0.0
PIT,14.0,2009-09-10,180.0,4.0,6.0,-3.0,0.0,0.0,1.0,0.0
TEN,70.0,2009-09-10,117.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
CLE,20.0,2009-09-13,3393.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0
MIN,70.0,2009-09-13,3273.0,4.0,10.0,-3.0,0.0,0.0,0.0,1.0
CLE,82.0,2009-09-13,3125.0,4.0,14.0,3.0,0.0,0.0,0.0,1.0
MIN,3.0,2009-09-13,2706.0,4.0,3.0,-3.0,0.0,0.0,1.0,0.0
CLE,90.0,2009-09-13,2591.0,4.0,14.0,0.0,0.0,0.0,0.0,1.0
CLE,2.0,2009-09-13,2160.0,4.0,2.0,-7.0,0.0,0.0,1.0,0.0
MIN,71.0,2009-09-13,2053.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0
CLE,53.0,2009-09-13,1950.0,4.0,5.0,-4.0,0.0,0.0,0.0,1.0
MIN,81.0,2009-09-13,1906.0,4.0,6.0,4.0,0.0,0.0,0.0,1.0
MIN,66.0,2009-09-13,1871.0,4.0,2.0,-2.0,0.0,0.0,0.0,1.0
CLE,51.0,2009-09-13,803.0,4.0,13.0,-12.0,0.0,0.0,0.0,1.0
MIN,72.0,2009-09-13,715.0,4.0,6.0,12.0,0.0,0.0,0.0,1.0
MIN,20.0,2009-09-13,419.0,4.0,18.0,12.0,0.0,0.0,1.0,0.0
CLE,71.0,2009-09-13,381.0,4.0,7.0,-15.0,0.0,0.0,0.0,1.0
CLE,64.0,2009-09-13,292.0,4.0,10.0,-22.0,0.0,1.0,0.0,0.0
MIN,35.0,2009-09-13,192.0,4.0,9.0,22.0,0.0,0.0,0.0,1.0
DET,75.0,2009-09-13,3351.0,4.0,5.0,-7.0,0.0,0.0,0.0,1.0
DET,29.0,2009-09-13,3018.0,4.0,5.0,-14.0,0.0,0.0,1.0,0.0
NO,74.0,2009-09-13,2929.0,4.0,3.0,11.0,0.0,0.0,0.0,1.0
DET,67.0,2009-09-13,2881.0,4.0,9.0,-11.0,0.0,0.0,0.0,1.0
NO,81.0,2009-09-13,2785.0,4.0,3.0,11.0,0.0,0.0,0.0,1.0
DET,4.0,2009-09-13,2651.0,4.0,1.0,-11.0,1.0,0.0,0.0,0.0
DET,70.0,2009-09-13,2343.0,4.0,4.0,-4.0,0.0,0.0,0.0,1.0
DET,76.0,2009-09-13,1948.0,4.0,17.0,-11.0,0.0,0.0,0.0,1.0
DET,58.0,2009-09-13,1850.0,4.0,5.0,-18.0,0.0,0.0,0.0,1.0
NO,20.0,2009-09-13,1275.0,4.0,2.0,11.0,0.0,0.0,1.0,0.0
