posteam,yardline_100,game_date,game_seconds_remaining,down,ydstogo,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt
PIT,26.0,2015-09-10,3284.0,4.0,12.0,0.0,0.0,0.0,1.0,0.0
NE,43.0,2015-09-10,3168.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
PIT,69.0,2015-09-10,2905.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
PIT,28.0,2015-09-10,2323.0,4.0,3.0,-7.0,0.0,0.0,1.0,0.0
PIT,35.0,2015-09-10,1848.0,4.0,3.0,-14.0,1.0,0.0,0.0,0.0
PIT,26.0,2015-09-10,1807.0,4.0,5.0,-14.0,0.0,0.0,1.0,0.0
NE,67.0,2015-09-10,1167.0,4.0,10.0,10.0,0.0,0.0,0.0,1.0
PIT,6.0,2015-09-10,702.0,4.0,6.0,-10.0,0.0,0.0,1.0,0.0
PIT,73.0,2015-09-10,516.0,4.0,3.0,-14.0,0.0,0.0,0.0,1.0
NE,76.0,2015-09-10,465.0,4.0,12.0,14.0,0.0,0.0,0.0,0.0
NE,81.0,2015-09-10,456.0,4.0,17.0,14.0,0.0,0.0,0.0,1.0
NE,67.0,2015-09-10,189.0,4.0,4.0,14.0,0.0,0.0,0.0,1.0
PIT,38.0,2015-09-10,22.0,4.0,9.0,-14.0,1.0,0.0,0.0,0.0
CHI,10.0,2015-09-13,3272.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0
GB,54.0,2015-09-13,3184.0,4.0,3.0,-3.0,0.0,0.0,0.0,1.0
CHI,79.0,2015-09-13,3032.0,4.0,19.0,3.0,0.0,0.0,0.0,1.0
CHI,9.0,2015-09-13,2374.0,4.0,5.0,-4.0,0.0,0.0,0.0,0.0
CHI,5.0,2015-09-13,2369.0,4.0,1.0,-4.0,1.0,0.0,0.0,0.0
GB,19.0,2015-09-13,1956.0,4.0,18.0,-3.0,0.0,0.0,1.0,0.0
CHI,26.0,2015-09-13,1202.0,4.0,13.0,-4.0,0.0,0.0,1.0,0.0
GB,40.0,2015-09-13,871.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0
CHI,2.0,2015-09-13,462.0,4.0,2.0,-8.0,0.0,1.0,0.0,0.0
GB,91.0,2015-09-13,375.0,4.0,3.0,8.0,0.0,0.0,0.0,1.0
CHI,24.0,2015-09-13,42.0,4.0,8.0,-15.0,1.0,0.0,0.0,0.0
KC,43.0,2015-09-13,3383.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0
HOU,47.0,2015-09-13,3230.0,4.0,10.0,-7.0,0.0,0.0,0.0,1.0
KC,9.0,2015-09-13,2429.0,4.0,7.0,8.0,0.0,0.0,1.0,0.0
HOU,77.0,2015-09-13,2347.0,4.0,7.0,-11.0,0.0,0.0,0.0,1.0
KC,30.0,2015-09-13,2185.0,4.0,8.0,11.0,0.0,0.0,1.0,0.0
