posteam,yardline_100,game_date,game_seconds_remaining,down,ydstogo,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt
BAL,76.0,2017-01-01,3555.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0
BAL,53.0,2017-01-01,3119.0,4.0,1.0,-7.0,1.0,0.0,0.0,0.0
BAL,12.0,2017-01-01,2897.0,4.0,2.0,-7.0,0.0,0.0,1.0,0.0
BAL,44.0,2017-01-01,2472.0,4.0,13.0,-11.0,0.0,0.0,0.0,1.0
CIN,5.0,2017-01-01,2173.0,4.0,5.0,11.0,0.0,0.0,1.0,0.0
CIN,46.0,2017-01-01,1642.0,4.0,4.0,17.0,0.0,0.0,0.0,1.0
BAL,81.0,2017-01-01,1490.0,4.0,14.0,-17.0,0.0,0.0,0.0,1.0
CIN,74.0,2017-01-01,1391.0,4.0,8.0,17.0,0.0,0.0,0.0,1.0
BAL,8.0,2017-01-01,1077.0,4.0,2.0,-17.0,0.0,1.0,0.0,0.0
CIN,78.0,2017-01-01,900.0,4.0,15.0,17.0,0.0,0.0,0.0,1.0
BAL,60.0,2017-01-01,822.0,4.0,10.0,-17.0,0.0,0.0,0.0,1.0
CIN,61.0,2017-01-01,719.0,4.0,10.0,17.0,0.0,0.0,0.0,1.0
CIN,63.0,2017-01-01,346.0,4.0,6.0,10.0,0.0,0.0,0.0,1.0
BAL,75.0,2017-01-01,289.0,4.0,5.0,-10.0,0.0,1.0,0.0,0.0
TEN,61.0,2017-01-01,3384.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
HOU,80.0,2017-01-01,3185.0,4.0,3.0,-6.0,0.0,0.0,0.0,1.0
TEN,44.0,2017-01-01,2985.0,4.0,18.0,6.0,0.0,0.0,0.0,1.0
HOU,83.0,2017-01-01,2920.0,4.0,7.0,-6.0,0.0,0.0,0.0,1.0
TEN,56.0,2017-01-01,2858.0,4.0,7.0,6.0,0.0,0.0,0.0,1.0
HOU,61.0,2017-01-01,2700.0,4.0,1.0,-6.0,1.0,0.0,0.0,0.0
HOU,34.0,2017-01-01,2448.0,4.0,6.0,-6.0,0.0,1.0,0.0,0.0
HOU,27.0,2017-01-01,2067.0,4.0,3.0,-6.0,0.0,0.0,1.0,0.0
TEN,58.0,2017-01-01,2000.0,4.0,3.0,6.0,0.0,0.0,0.0,1.0
HOU,97.0,2017-01-01,1963.0,4.0,17.0,-6.0,0.0,0.0,0.0,1.0
HOU,4.0,2017-01-01,1539.0,4.0,4.0,-13.0,1.0,0.0,0.0,0.0
