posteam,yardline_100,game_date,game_seconds_remaining,down,ydstogo,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt
BAL,72.0,2013-09-05,3498.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
DEN,59.0,2013-09-05,3379.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
DEN,39.0,2013-09-05,2926.0,4.0,4.0,-7.0,0.0,0.0,0.0,1.0
BAL,69.0,2013-09-05,2695.0,4.0,17.0,7.0,0.0,0.0,0.0,1.0
DEN,58.0,2013-09-05,2588.0,4.0,4.0,-7.0,0.0,0.0,0.0,1.0
BAL,40.0,2013-09-05,2298.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
BAL,84.0,2013-09-05,2058.0,4.0,14.0,0.0,0.0,0.0,0.0,1.0
DEN,60.0,2013-09-05,2007.0,4.0,21.0,0.0,0.0,0.0,0.0,1.0
BAL,7.0,2013-09-05,1810.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0
BAL,86.0,2013-09-05,1577.0,4.0,16.0,-4.0,0.0,0.0,0.0,1.0
BAL,77.0,2013-09-05,1454.0,4.0,7.0,-11.0,0.0,0.0,0.0,1.0
BAL,71.0,2013-09-05,1209.0,4.0,1.0,-18.0,0.0,0.0,0.0,1.0
DEN,64.0,2013-09-05,1098.0,4.0,13.0,18.0,0.0,0.0,0.0,1.0
BAL,89.0,2013-09-05,1013.0,4.0,20.0,-18.0,0.0,0.0,0.0,1.0
DEN,54.0,2013-09-05,964.0,4.0,6.0,18.0,0.0,0.0,0.0,1.0
BAL,74.0,2013-09-05,900.0,4.0,18.0,-18.0,0.0,0.0,0.0,1.0
BAL,71.0,2013-09-05,733.0,4.0,1.0,-25.0,0.0,1.0,0.0,0.0
DEN,73.0,2013-09-05,501.0,4.0,3.0,18.0,0.0,0.0,0.0,1.0
BAL,12.0,2013-09-05,333.0,4.0,4.0,-18.0,0.0,0.0,1.0,0.0
BAL,73.0,2013-09-05,146.0,4.0,17.0,-22.0,0.0,0.0,0.0,1.0
NE,44.0,2013-09-08,3434.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
