posteam,yardline_100,game_date,game_seconds_remaining,down,ydstogo,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt
NYJ,79.0,2016-01-03,3516.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0
BUF,55.0,2016-01-03,3451.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
NYJ,75.0,2016-01-03,3281.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0
BUF,66.0,2016-01-03,3185.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
NYJ,96.0,2016-01-03,3127.0,4.0,18.0,0.0,0.0,0.0,0.0,1.0
NYJ,79.0,2016-01-03,2971.0,4.0,9.0,-7.0,0.0,0.0,0.0,1.0
BUF,2.0,2016-01-03,2582.0,4.0,1.0,7.0,1.0,0.0,0.0,0.0
NYJ,22.0,2016-01-03,2529.0,4.0,10.0,-13.0,0.0,0.0,1.0,0.0
BUF,71.0,2016-01-03,2474.0,4.0,11.0,13.0,0.0,0.0,0.0,1.0
BUF,13.0,2016-01-03,1969.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0
BUF,2.0,2016-01-03,1827.0,4.0,2.0,6.0,0.0,0.0,1.0,0.0
NYJ,21.0,2016-01-03,1704.0,4.0,8.0,-9.0,0.0,0.0,1.0,0.0
BUF,28.0,2016-01-03,1341.0,4.0,6.0,6.0,1.0,0.0,0.0,0.0
BUF,19.0,2016-01-03,1205.0,4.0,9.0,6.0,0.0,0.0,1.0,0.0
BUF,72.0,2016-01-03,900.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0
BUF,24.0,2016-01-03,233.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0
BUF,61.0,2016-01-03,55.0,4.0,5.0,5.0,0.0,0.0,0.0,1.0
MIA,66.0,2016-01-03,3549.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0
NE,76.0,2016-01-03,3422.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
MIA,20.0,2016-01-03,3190.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0
NE,61.0,2016-01-03,2981.0,4.0,2.0,-3.0,0.0,0.0,0.0,1.0
MIA,28.0,2016-01-03,2651.0,4.0,13.0,3.0,0.0,0.0,1.0,0.0
NE,16.0,2016-01-03,2290.0,4.0,6.0,-3.0,0.0,0.0,1.0,0.0
MIA,72.0,2016-01-03,2171.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
NE,28.0,2016-01-03,1920.0,4.0,14.0,0.0,0.0,0.0,1.0,0.0
MIA,79.0,2016-01-03,1581.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0
NE,67.0,2016-01-03,1554.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
MIA,40.0,2016-01-03,1373.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0
MIA,45.0,2016-01-03,1373.0,4.0,14.0,0.0,0.0,0.0,0.0,1.0
NE,67.0,2016-01-03,1241.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0
MIA,39.0,2016-01-03,1032.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0
NE,56.0,2016-01-03,963.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
MIA,50.0,2016-01-03,798.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0
MIA,45.0,2016-01-03,784.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0
NE,69.0,2016-01-03,599.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
,,2016-01-03,305.0,4.0,23.0,,,,,
NE,93.0,2016-01-03,305.0,4.0,23.0,-7.0,0.0,0.0,0.0,0.0
NE,96.0,2016-01-03,289.0,4.0,26.0,-7.0,0.0,0.0,0.0,1.0
MIA,1.0,2016-01-03,120.0,4.0,1.0,7.0,0.0,0.0,1.0,0.0
NE,74.0,2016-01-03,83.0,4.0,4.0,-10.0,0.0,1.0,0.0,0.0
NO,61.0,2016-01-03,3462.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
ATL,33.0,2016-01-03,3108.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0
ATL,27.0,2016-01-03,2244.0,4.0,8.0,-4.0,0.0,0.0,1.0,0.0
NO,17.0,2016-01-03,2015.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0
ATL,53.0,2016-01-03,1546.0,4.0,15.0,3.0,0.0,0.0,0.0,1.0
NO,23.0,2016-01-03,1234.0,4.0,10.0,-3.0,0.0,0.0,1.0,0.0
ATL,43.0,2016-01-03,167.0,4.0,18.0,0.0,0.0,0.0,0.0,1.0
NO,79.0,2016-01-03,115.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
DET,86.0,2016-01-03,2750.0,4.0,16.0,7.0,0.0,0.0,0.0,1.0
CHI,67.0,2016-01-03,2584.0,4.0,2.0,-7.0,0.0,0.0,0.0,1.0
